Awardee		Year	Award	Awarder	Rank	Score	Opened	Pitmaster	Pitmaster age	Wood	Heat	
Rio Grande Grill BBQ & Etex-Mex	Harlingen	2017	TX BBQ Top 50	Texas Monthly		4.25	2013	Daniel Wright	31	mesquite	offset smoker	
Terry Black's Barbecue (Austin)	Austin	2017	TX BBQ Top 50	Texas Monthly		4.25	2014	"Michael Black, Mark Black"	"28, 28"	post oak	indirect-heat pit	
Granary 'Cue and Brew	San Antonio	2017	TX BBQ Top 50	Texas Monthly		4.25	2012	"Tim Rattray, Matt Coogan"	"34, 34"	oak	indirect-heat pit	
Pit Room	Houston	2017	TX BBQ Top 50	Texas Monthly		4.25	2016	"Michael Sambrooks, Bramwell Tripp"	"31, 33"	post oak	offset smoker	
Smoking Oak	Mercedes	2017	TX BBQ Top 50	Texas Monthly		4.25	2015	Mario Dominguez Jr.	40	oak	indirect-heat pit	
Valentina's Tex Mex BBQ	Austin	2017	TX BBQ Top 50	Texas Monthly		4.25	2013	Miguel Vidal	37	mesquite	wood-fired offset smoker	
4-T's Bar-B-Q	Forney	2017	TX BBQ Top 50	Texas Monthly		4	2010	Mike Thomas	56	hickory	indirect-heat smoker	
Baker Boys BBQ	Gonzales	2017	TX BBQ Top 50	Texas Monthly		4	2015	"Phil Baker, Wayne Baker"	"63, 35"	oak lump briquettes	indirect-heat pit	
Cooper's Old Time Pit Bar-B-Que	Llano	2017	TX BBQ Top 50	Texas Monthly		4	1962	"Kenny Oestreich, Louis Garcia"	"52, 60"	mesquite	direct-heat pit	
Gatlin's BBQ	Houston	2017	TX BBQ Top 50	Texas Monthly		4	2010	Greg Gatlin	37	"hickory, oak"	indirect-heat pit	
Harris Bar-B-Que	Waxahachie	2017	TX BBQ Top 50	Texas Monthly		4	2013	Kelvin Harris	50	"hickory, oak, miscellaneous"	reverse-flow smoker	
Heim Barbecue	Fort Worth	2017	TX BBQ Top 50	Texas Monthly		4	2015	Travis Heim	28	oak	indirect-heat pit	
Joseph's Riverport Barbecue	Jefferson	2017	TX BBQ Top 50	Texas Monthly		4	1993	Stephen Joseph	49	post oak	indirect-heat pit	
Lockhart Smokehouse	Dallas	2017	TX BBQ Top 50	Texas Monthly		4	2011	"Damian Avila, Carolina Maldonado"	"33, 33"	post oak	indirect-heat pit	
Payne's Bar-B-Q- Shak	Burnet	2017	TX BBQ Top 50	Texas Monthly		4	2011	Robert Payne	73	oak	indirect-heat pit	
Pody's BBQ	Pecos	2017	TX BBQ Top 50	Texas Monthly		4	2011	"Israel Pody Campos, Veronica Campos, Margaret Franco"	"42, 35, 61"	"pecan, oak, mesquite"	"offset smoker, wood-fired rotisserie"	
Smolik's Smokehouse	Mathis	2017	TX BBQ Top 50	Texas Monthly		4	1989	John Rodriguez	53	"mesquite, hickory"	wood-fired rotisserie smoker	
Stillwater Barbeque	Abilene	2017	TX BBQ Top 50	Texas Monthly		4	2013	Matt Proctor	33	oak	all-wood rotisserie smoker	
Top 5 BBQ	DeSoto	2017	TX BBQ Top 50	Texas Monthly		4	2016	Kendon Greene	36	"oak, pecan"	convection-style gas rotisserie	
Tyler's Barbecue	Amarillo	2017	TX BBQ Top 50	Texas Monthly		4	2010	Tyler Frazer	49	"mesquite, oak"	indirect-heat pit	
Vera's Backyard Bar-B-Que	Brownsville	2017	TX BBQ Top 50	Texas Monthly		4	1955	Mando Vera	56	mesquite coals	subterranean pit	
Goldee's	Fort Worth	2021	TX BBQ Top 50	Texas Monthly	1		2020	"Lane Milne, Jalen Heard, Nupohn Inthanousay, Jonny White, PJ Inthanousay"	"27, 27, 26, 26, 23"	post oak	offset smoker	
InterStellar BBQ	Austin	2021	TX BBQ Top 50	Texas Monthly	2		2019	"John Bates, Carlos Cruz, Warren McDonald"	"46, 43, 53"	post oak	offset smoker	
Truth Barbeque	Houston	2021	TX BBQ Top 50	Texas Monthly	3		2015	"Searcy Booker Jr., Leonard Botello IV, Antioco Carino, Reid Carson, Edward Montoya"	"27, 32, 34, 30, 35"	post oak	"offset smoker, direct-heat pit"	
Burnt Bean Co.	Seguin	2021	TX BBQ Top 50	Texas Monthly	4		2020	"David Kirkland, Ernest Servantes"	"47, 43"	post oak	offset smoker	
LeRoy and Lewis Barbecue	Austin	2021	TX BBQ Top 50	Texas Monthly	5		2017	Evan LeRoy	35	post oak	"offset smoker, direct-heat pit"	
Cattleack Barbeque	Dallas	2021	TX BBQ Top 50	Texas Monthly	6		2013	Todd David	64	post oak	"offset smoker, wood-rotisserie smoker, direct-heat pit"	
Franklin Barbecue	Austin	2021	TX BBQ Top 50	Texas Monthly	7		2009	"Jordan Jackson, Megan Nesland, Matthew Van Orden"	"39, 38, 46"	post oak	offset smoker	
Evie Mae's Pit Barbecue	Wolfforth	2021	TX BBQ Top 50	Texas Monthly	8		2015	"Emma Mendoza, Nathan Pier, Arnis Robbins, Joseph Rodriguez"	"29, 40, 37, 28"	oak		"reverse flow smoker, wood-fired rotisserie smoker"
Snow's BBQ	Lexington	2021	TX BBQ Top 50	Texas Monthly	9		2003	"Kerry Bexley, Clay Cowgill, Tootsie Tomanetz"	"54, 39, 86"	post oak	"offset smoker, direct-heat pit"	
Panther City BBQ	Fort Worth	2021	TX BBQ Top 50	Texas Monthly	10		2018	"Fernando Barnes, Daniel Garcia, Chris Magallanes, Ernest Morales, Angel Rodriguez"	"43, 28, 47, 38, 19"	post oak	"offset smoker, Santa Maria grill"	
Hurtado Barbecue	Arlington	2021	TX BBQ Top 50	Texas Monthly			2020	"Brandon Hurtado, Chris Leffel, Michael Sharp, Andrew Zelade"	"34, 36, 32, 30"	post oak	"offset smoker, wood-fired rotisserie"	
Distant Relatives	Austin	2021	TX BBQ Top 50	Texas Monthly			2021	"Damien Brockway, Omari Mackey, Wesley Robinson"	"38, 26, 28"	pecan	offset smoker	
La Barbecue	Austin	2021	TX BBQ Top 50	Texas Monthly			2012	"Ali Clem, LeAnn Mueller"	"40, 49"	post oak	offset smoker	
Micklethwait Craft Meats	Austin	2021	TX BBQ Top 50	Texas Monthly			2012	"Ren Garcia, Tom Micklethwait"	"47, 43"	oak	offset smoker	
Valentina's Tex Mex BBQ	Austin	2021	TX BBQ Top 50	Texas Monthly			2013	Miguel Vidal	40	mesquite	offset smoker	
1701 Barbecue	Beaumont	2021	TX BBQ Top 50	Texas Monthly			2020	"Blue Broussard, Travis Cox, Jacob Golmon, Derek Ray, Colton Savoie, Gage Stark"	"37, 38, 37, 35, 19, 18"	post oak	offset smoker	
Bloos Bros. BBQ	Bellaire	2021	TX BBQ Top 50	Texas Monthly			2018	"Quy Hoang, Jaime Valencia"	"48, 37"	"oak, pecan"	offset smoker	
Miller's Smokehouse	Belton	2021	TX BBQ Top 50	Texas Monthly			2008	"Bradley Knight, Dirk Miller, Dylon Miller, Chris Oliver"	"33, 57, 30, 22"	post oak	offset smoker	
LJ's BBQ	Brenham	2021	TX BBQ Top 50	Texas Monthly			2015	"Corey Cook, Matt Lowery"	"46, 40"	post oak	offset smoker	
Vera's Backyard Bar-B-Que	Brownsville	2021	TX BBQ Top 50	Texas Monthly			1955	Armando Vera	61	mesquite	underground brick-lined pit	
Mimsy's Craft Barbecue	Crockett	2021	TX BBQ Top 50	Texas Monthly			2020	Wade Elkins	36	post oak	reverse-flow smoker	
Slow Bone	Dallas	2021	TX BBQ Top 50	Texas Monthly			2013	Jeffery Hobbs	51	"hickory, oak"	wood-fired rotisserie smoker	
Smokey Joe's BBQ	Dallas	2021	TX BBQ Top 50	Texas Monthly			1985	"Earl Harris, Kris Manning"	"56, 31"	"hickory, oak"	offset smoker	
Terry Black's Barbecue (Dallas)	Dallas	2021	TX BBQ Top 50	Texas Monthly			2019	"Mark Black, Michael Black"	"33, 33"	post oak	"offset smoker, wood-fired rotisserie smoker"	
Desert Oak Barbecue	El Paso	2021	TX BBQ Top 50	Texas Monthly			2015	Richard Funk	45	post oak	offset smoker	
Dayne's Craft Barbecue	Fort Worth	2021	TX BBQ Top 50	Texas Monthly			2019	"Thomas Loven, Dayne Weaver"	"26, 34"	"red oak, post oak"	offset smoker	
Smoke-A-Holics BBQ	Fort Worth	2021	TX BBQ Top 50	Texas Monthly			2019	Derrick Walker	44	pecan	offset smoker	
Eaker Barbecue	Fredericksburg	2021	TX BBQ Top 50	Texas Monthly			2018	Lance Eaker	49	"mesquite, post oak"	offset smoker	
Hutchins BBQ	Frisco	2021	TX BBQ Top 50	Texas Monthly			2014	"Tim Hutchins, Trey Hutchins, John Mueller"	"41, 50, 52"	"oak, pecan"	wood-fired rotisserie smoker	
Baker Boys BBQ	Gonzales	2021	TX BBQ Top 50	Texas Monthly			2015	"Phil Baker, Wayne Baker"	"69, 40"	charcoal briquettes	indirect-heat pit	
Zavala's Barbecue	Grand Prairie	2021	TX BBQ Top 50	Texas Monthly			2019	"Joseph Bastian, Ellie Snyder, Joe Zavala"	"19, 30, 35"	"post oak, pecan"	offset smoker	
Feges BBQ	Houston	2021	TX BBQ Top 50	Texas Monthly			2021	"Vince Boisaubin, Hristo Cisneros, Zach Cook, Ozzi Escalante, Patrick Feges"	"32, 24, 34, 21, 36"	oak	wood-fired rotisserie smoker	
Brett's BBQ Shop	Katy	2021	TX BBQ Top 50	Texas Monthly			2018	"Roalndo Garcia, Brett Jackson"	40	oak	offset smoker	
Convenience West	Marfa	2021	TX BBQ Top 50	Texas Monthly			2017	Mark Scott	35	oak	offset smoker	
Butter's BBQ	Mathis	2021	TX BBQ Top 50	Texas Monthly			2017	"Robert Rodriguez, Andrew Soto"	"24, 29"	"post oak, mesquite"	offset smoker	
Rejino Barbeque	Olton	2021	TX BBQ Top 50	Texas Monthly			2017	Aaron Rejino	32	oak	offset smoker	
Killen's Barbecue	Pearland	2021	TX BBQ Top 50	Texas Monthly			2013	"Margarito Pineda, Manny Torres"	"54, 48"	"post oak, hickory, pecan"	wood-fired rotisserie smoker	
Brotherton's Black Iron Barbecue	Pflugerville	2021	TX BBQ Top 50	Texas Monthly			2017	"Dominic Colbert, Bill Dumas, Charles Ferrell, Bobby Holley, Jason Tedford"	"36, 53, 32, 25, 41"	oak	"offset smoker, direct-heat pit"	
LaVaca BBQ	Port Lavaca	2021	TX BBQ Top 50	Texas Monthly			2019	Kelli Nevarez	29	post oak	offset smoker	
Brett's Backyard Bar-B-Que	Rockdale	2021	TX BBQ Top 50	Texas Monthly			2018	"Brett Boren, Barden Wallis"	"39, 22"	oak	"offset smoker, direct-heat pit"	
2M Smokehouse	San Antonio	2021	TX BBQ Top 50	Texas Monthly			2016	Esaul Ramos	36	post oak	offset smoker	
Pinkerton's Barbecue	San Antonio	2021	TX BBQ Top 50	Texas Monthly			2021	Grant Pinkerton	32	"mesquite, post oak"	offset smoker	
Hays Co. Bar-B-Que	San Marcos	2021	TX BBQ Top 50	Texas Monthly			2007	"Michael Hernandez, Michael Aaron Hernandez, Jessie Miranda"	"47, 28, 47"	post oak	offset smoker	
Corkscrew BBQ	Spring	2021	TX BBQ Top 50	Texas Monthly			2011	Will Buckman	42	red oak	wood-fired rotisserie smoker	
Louie Mueller Barbecue	Taylor	2021	TX BBQ Top 50	Texas Monthly			1949	Wayne Mueller	56	post oak	offset smoker	
Tejas Chocolate	Tomball	2021	TX BBQ Top 50	Texas Monthly			2015	"Greg Moore, Scott Moore Jr."	"55, 57"	post oak	offset smoker	
Stanley's Famous Pit Barbecue	Tyler	2021	TX BBQ Top 50	Texas Monthly			1960	"Spencer Carl, Nick Pencis"	"34, 44"	"pecan, post oak"	"offset smoker, wood-fired rotisserie smoker"	
Guess Family Barbecue	Waco	2021	TX BBQ Top 50	Texas Monthly			2017	"Kyle Arwine, Reid Guess, Chuy Ortiz"	"45, 39, 28"	post oak	offset smoker	
Teddy's Barbecue	Weslaco	2021	TX BBQ Top 50	Texas Monthly			2019	"Jesse Garcia, Joel Garcia, Paul Rios"	"23, 30, 36"	post oak	offset smoker	
Helberg Barbecue	Woodway	2021	TX BBQ Top 50	Texas Monthly			2018	"Candace Daniels, David Ferlet, Phillip Helberg, Josh Soliman"	"29, 48, 27, 29"	post oak	offset smoker	
Smoke 'N Ash BBQ	Arlington	2023	TX BBQ New & Improved	Texas Monthly			2018	"Patrick Hicks, Fasicka Hicks"				
Briscuits	Austin	2023	TX BBQ New & Improved	Texas Monthly			2021	"Christopher McGhee, Will Spence"				
KG BBQ	Austin	2023	TX BBQ New & Improved	Texas Monthly			2022	Kareem El-Ghayesh				
Mum Foods	Austin	2023	TX BBQ New & Improved	Texas Monthly			2022	"Geoffrey Ellis, Travis Crawford"				
Douglas Bar and Grill	Dallas	2023	TX BBQ New & Improved	Texas Monthly			2022	"Doug Pickering, Alex Meza"				
North Texas Smoke BBQ	Decatur	2023	TX BBQ New & Improved	Texas Monthly			2022	"Derek Degenhardt, Taylor Shields"				
Heritage Butchery & Barbecue	Denison	2023	TX BBQ New & Improved	Texas Monthly			2022	"Pete Gonzales, Arthur Finney, Garrett Nichols, Marco Rios"				
Vargas BBQ	Edinburg	2023	TX BBQ New & Improved	Texas Monthly			2021	Ram Vargas				
Hallelujah BBQ	El Paso	2023	TX BBQ New & Improved	Texas Monthly			2023	Blake Barrow				
Smokin' Joe's Pit BBQ	El Paso	2023	TX BBQ New & Improved	Texas Monthly			2022	"Joe Martinez, Martin Martinez"				
Rossler's Blue Cord Barbecue	Harker Heights	2023	TX BBQ New & Improved	Texas Monthly			2021	"Steven Rossler, Kristen Rossler"				
Brisket & Rice	Houston	2023	TX BBQ New & Improved	Texas Monthly			2022	"Hong Tran, Phong Tran"				
J-Bar-M Barbecue	Houston	2023	TX BBQ New & Improved	Texas Monthly			2021	"Alec Varnell, Nick Orozco"				
Barbs B Q	Lockhart	2023	TX BBQ New & Improved	Texas Monthly			2023	"Chuck Charnichart, Haley Conlin, Alexis Tovias"				
B4 Barbeque & Boba	Mabank	2023	TX BBQ New & Improved	Texas Monthly			2021	Nolan Belcher				
Midland Meat Co.'s Half Acre	Midland	2023	TX BBQ New & Improved	Texas Monthly			2019	Aaron Lesley				
El Sancho Tex Mex BBQ	Mission	2023	TX BBQ New & Improved	Texas Monthly			2019	Danny Sanchez				
Bar-A-BBQ	Montgomery	2023	TX BBQ New & Improved	Texas Monthly			2019	"Cooper Abercrombie, Shelby Abercrombie, Caleb Abercrombie"				
Brantley Creek Barbecue	Odessa	2023	TX BBQ New & Improved	Texas Monthly			2019	Brantley Creek Barbecue				
Reese Bros Barbecue	San Antonio	2023	TX BBQ New & Improved	Texas Monthly			2022	"Nick Reese, Elliott Reese, Gabriel Perez"				
GW's BBQ Catering Co.	San Juan	2023	TX BBQ New & Improved	Texas Monthly			2017	GW's BBQ Catering Co.				
Rosemeyer Bar-B-Q	Spring	2023	TX BBQ New & Improved	Texas Monthly			2021	"Jordan Rosemeyer, Ben Maxwell"				
Hill City Chop House	Tolar	2023	TX BBQ New & Improved	Texas Monthly			2022	"Dustin Martin, Jack Allison"				
Pit Commander Barbecue	Van Alstyne	2023	TX BBQ New & Improved	Texas Monthly			2022	Stephan Nedwetzky				
Sunbird Barbecue	White Oak	2023	TX BBQ New & Improved	Texas Monthly			2021	"Bryan Bingham, David Segovia"				
